issueNumber,premium,dice1,dice2,dice3,sum,big_small,odd_even,shape,issue_number
20260818101010473,532,5,3,2,10.0,Small,Even,,20260818101010473
20260818101010472,425,4,2,5,11.0,Big,Odd,,20260818101010472
20260818101010471,456,4,5,6,15.0,Big,Odd,,20260818101010471
20260818101010470,421,4,2,1,7.0,Small,Odd,,20260818101010470
20260818101010469,463,4,6,3,13.0,Big,Odd,,20260818101010469
20260818101010468,112,1,1,2,4.0,Small,Even,,20260818101010468
20260818101010467,345,3,4,5,12.0,Big,Even,,20260818101010467
20260818101010466,423,4,2,3,9.0,Small,Odd,,20260818101010466
20260818101010465,223,2,2,3,7.0,Small,Odd,,20260818101010465
20260818101010464,636,6,3,6,15.0,Big,Odd,,20260818101010464
20260818101010463,341,3,4,1,8.0,Small,Even,,20260818101010463
20260818101010462,626,6,2,6,14.0,Big,Even,,20260818101010462
20260818101010461,311,3,1,1,5.0,Small,Odd,,20260818101010461
20260818101010460,113,1,1,3,5.0,Small,Odd,,20260818101010460
20260818101010459,335,3,3,5,11.0,Big,Odd,,20260818101010459
20260817101011202,355,3.0,5.0,5.0,13.0,Big,Odd,,20260817101011202
20260817101011201,234,2.0,3.0,4.0,9.0,Small,Odd,,20260817101011201
20260817101011200,364,3.0,6.0,4.0,13.0,Big,Odd,,20260817101011200
20260817101011199,515,5.0,1.0,5.0,11.0,Big,Odd,,20260817101011199
20260817101011198,215,2.0,1.0,5.0,8.0,Small,Even,,20260817101011198
20260817101011197,232,2.0,3.0,2.0,7.0,Small,Odd,,20260817101011197
20260817101011196,621,6.0,2.0,1.0,9.0,Small,Odd,,20260817101011196
20260817101011195,622,6.0,2.0,2.0,10.0,Small,Even,,20260817101011195
20260817101011194,445,4.0,4.0,5.0,13.0,Big,Odd,,20260817101011194
20260817101011193,241,2.0,4.0,1.0,7.0,Small,Odd,,20260817101011193
20260817101011192,142,1.0,4.0,2.0,7.0,Small,Odd,,20260817101011192
20260817101011191,341,3.0,4.0,1.0,8.0,Small,Even,,20260817101011191
20260817101011190,463,4.0,6.0,3.0,13.0,Big,Odd,,20260817101011190
20260817101011189,524,5.0,2.0,4.0,11.0,Big,Odd,,20260817101011189
20260817101011188,113,1.0,1.0,3.0,5.0,Small,Odd,,20260817101011188
20260817101011187,661,6.0,6.0,1.0,13.0,Big,Odd,,20260817101011187
20260817101011186,666,6.0,6.0,6.0,18.0,Big,Even,,20260817101011186
20260817101011185,536,5.0,3.0,6.0,14.0,Big,Even,,20260817101011185
20260817101011184,246,2.0,4.0,6.0,12.0,Big,Even,,20260817101011184
20260817101011183,166,1.0,6.0,6.0,13.0,Big,Odd,,20260817101011183
20260817101011182,213,2.0,1.0,3.0,6.0,Small,Even,,20260817101011182
20260817101011181,244,2.0,4.0,4.0,10.0,Small,Even,,20260817101011181
20260817101011180,655,6.0,5.0,5.0,16.0,Big,Even,,20260817101011180
20260817101011179,545,5.0,4.0,5.0,14.0,Big,Even,,20260817101011179
20260817101011178,451,4.0,5.0,1.0,10.0,Small,Even,,20260817101011178
20260817101011177,621,6.0,2.0,1.0,9.0,Small,Odd,,20260817101011177
20260817101011176,256,2.0,5.0,6.0,13.0,Big,Odd,,20260817101011176
20260817101011175,523,5.0,2.0,3.0,10.0,Small,Even,,20260817101011175
20260817101011174,434,4.0,3.0,4.0,11.0,Big,Odd,,20260817101011174
20260817101011173,563,5.0,6.0,3.0,14.0,Big,Even,,20260817101011173
20260817101011172,436,4.0,3.0,6.0,13.0,Big,Odd,,20260817101011172
20260817101011171,232,2.0,3.0,2.0,7.0,Small,Odd,,20260817101011171
20260817101011170,442,4.0,4.0,2.0,10.0,Small,Even,,20260817101011170
20260817101011169,656,6.0,5.0,6.0,17.0,Big,Odd,,20260817101011169
20260817101011168,653,6.0,5.0,3.0,14.0,Big,Even,,20260817101011168
20260817101011167,114,1.0,1.0,4.0,6.0,Small,Even,,20260817101011167
20260817101011166,135,1.0,3.0,5.0,9.0,Small,Odd,,20260817101011166
20260817101011165,414,4.0,1.0,4.0,9.0,Small,Odd,,20260817101011165
20260817101011164,561,5.0,6.0,1.0,12.0,Big,Even,,20260817101011164
20260817101011163,632,6.0,3.0,2.0,11.0,Big,Odd,,20260817101011163
20260817101011162,655,6.0,5.0,5.0,16.0,Big,Even,,20260817101011162
20260817101011161,656,6.0,5.0,6.0,17.0,Big,Odd,,20260817101011161
20260817101011160,315,3.0,1.0,5.0,9.0,Small,Odd,,20260817101011160
20260817101011159,236,2.0,3.0,6.0,11.0,Big,Odd,,20260817101011159
20260817101011158,354,3.0,5.0,4.0,12.0,Big,Even,,20260817101011158
20260817101011157,351,3.0,5.0,1.0,9.0,Small,Odd,,20260817101011157
20260817101011156,265,2.0,6.0,5.0,13.0,Big,Odd,,20260817101011156
20260817101011155,531,5.0,3.0,1.0,9.0,Small,Odd,,20260817101011155
20260817101011154,545,5.0,4.0,5.0,14.0,Big,Even,,20260817101011154
20260817101011153,534,5.0,3.0,4.0,12.0,Big,Even,,20260817101011153
20260817101011152,254,2.0,5.0,4.0,11.0,Big,Odd,,20260817101011152
20260817101011151,464,4.0,6.0,4.0,14.0,Big,Even,,20260817101011151
20260817101011150,632,6.0,3.0,2.0,11.0,Big,Odd,,20260817101011150
20260817101011149,425,4.0,2.0,5.0,11.0,Big,Odd,,20260817101011149
20260817101011148,213,2.0,1.0,3.0,6.0,Small,Even,,20260817101011148
20260817101011147,414,4.0,1.0,4.0,9.0,Small,Odd,,20260817101011147
20260817101011146,431,4.0,3.0,1.0,8.0,Small,Even,,20260817101011146
20260817101011145,242,2.0,4.0,2.0,8.0,Small,Even,,20260817101011145
20260817101011144,635,6.0,3.0,5.0,14.0,Big,Even,,20260817101011144
20260817101011143,421,4.0,2.0,1.0,7.0,Small,Odd,,20260817101011143
20260817101011142,316,3.0,1.0,6.0,10.0,Small,Even,,20260817101011142
20260817101011141,366,3.0,6.0,6.0,15.0,Big,Odd,,20260817101011141
20260817101011140,362,3.0,6.0,2.0,11.0,Big,Odd,,20260817101011140
20260817101011139,215,2.0,1.0,5.0,8.0,Small,Even,,20260817101011139
20260817101011138,124,1.0,2.0,4.0,7.0,Small,Odd,,20260817101011138
20260817101011137,244,2.0,4.0,4.0,10.0,Small,Even,,20260817101011137
20260817101011136,641,6.0,4.0,1.0,11.0,Big,Odd,,20260817101011136
20260817101011135,662,6.0,6.0,2.0,14.0,Big,Even,,20260817101011135
20260817101011134,514,5.0,1.0,4.0,10.0,Small,Even,,20260817101011134
20260817101011133,256,2.0,5.0,6.0,13.0,Big,Odd,,20260817101011133
20260817101011132,561,5.0,6.0,1.0,12.0,Big,Even,,20260817101011132
20260817101011131,346,3.0,4.0,6.0,13.0,Big,Odd,,20260817101011131
20260817101011130,344,3.0,4.0,4.0,11.0,Big,Odd,,20260817101011130
20260817101011129,143,1.0,4.0,3.0,8.0,Small,Even,,20260817101011129
20260817101011128,234,2.0,3.0,4.0,9.0,Small,Odd,,20260817101011128
20260817101011127,226,2.0,2.0,6.0,10.0,Small,Even,,20260817101011127
20260817101011126,111,1.0,1.0,1.0,3.0,Small,Odd,,20260817101011126
20260817101011125,444,4.0,4.0,4.0,12.0,Big,Even,,20260817101011125
20260817101011124,234,2.0,3.0,4.0,9.0,Small,Odd,,20260817101011124
20260817101011123,444,4.0,4.0,4.0,12.0,Big,Even,,20260817101011123
20260817101011122,645,6.0,4.0,5.0,15.0,Big,Odd,,20260817101011122
20260817101011121,316,3.0,1.0,6.0,10.0,Small,Even,,20260817101011121
20260817101011120,326,3.0,2.0,6.0,11.0,Big,Odd,,20260817101011120
20260817101011119,614,6.0,1.0,4.0,11.0,Big,Odd,,20260817101011119
20260817101011118,641,6.0,4.0,1.0,11.0,Big,Odd,,20260817101011118
20260817101011117,265,2.0,6.0,5.0,13.0,Big,Odd,,20260817101011117
20260817101011116,332,3.0,3.0,2.0,8.0,Small,Even,,20260817101011116
20260817101011115,141,1.0,4.0,1.0,6.0,Small,Even,,20260817101011115
20260817101011114,132,1.0,3.0,2.0,6.0,Small,Even,,20260817101011114
20260817101011113,354,3.0,5.0,4.0,12.0,Big,Even,,20260817101011113
20260817101011112,545,5.0,4.0,5.0,14.0,Big,Even,,20260817101011112
20260817101011111,222,2.0,2.0,2.0,6.0,Small,Even,,20260817101011111
20260817101011110,552,5.0,5.0,2.0,12.0,Big,Even,,20260817101011110
20260817101011109,453,4.0,5.0,3.0,12.0,Big,Even,Single,
20260817101011108,333,3.0,3.0,3.0,9.0,Small,Odd,Triple,
20260817101011107,566,5.0,6.0,6.0,17.0,Big,Odd,Double,
20260817101011106,542,5.0,4.0,2.0,11.0,Big,Odd,Single,
20260817101011105,536,5.0,3.0,6.0,14.0,Big,Even,Single,
20260817101011104,333,3.0,3.0,3.0,9.0,Small,Odd,Triple,
20260817101011103,545,5.0,4.0,5.0,14.0,Big,Even,Double,
20260817101011102,423,4.0,2.0,3.0,9.0,Small,Odd,Single,
20260817101011101,443,4.0,4.0,3.0,11.0,Big,Odd,Double,
20260817101011100,514,5.0,1.0,4.0,10.0,Small,Even,Single,
20260817101011099,555,5.0,5.0,5.0,15.0,Big,Odd,Triple,
20260817101011098,321,3.0,2.0,1.0,6.0,Small,Even,Single,
20260817101011097,312,3.0,1.0,2.0,6.0,Small,Even,Single,
20260817101011096,352,3.0,5.0,2.0,10.0,Small,Even,Single,
20260817101011095,651,6.0,5.0,1.0,12.0,Big,Even,Single,
20260817101011094,533,5.0,3.0,3.0,11.0,Big,Odd,Double,
20260817101011093,112,1.0,1.0,2.0,4.0,Small,Even,Double,
20260817101011092,243,2.0,4.0,3.0,9.0,Small,Odd,Single,
20260817101011091,111,1.0,1.0,1.0,3.0,Small,Odd,Triple,
20260817101011090,116,1.0,1.0,6.0,8.0,Small,Even,Double,
20260817101011089,615,6.0,1.0,5.0,12.0,Big,Even,Single,
20260817101011088,221,2.0,2.0,1.0,5.0,Small,Odd,Double,
20260817101011087,522,5.0,2.0,2.0,9.0,Small,Odd,Double,
20260817101011086,165,1.0,6.0,5.0,12.0,Big,Even,Single,
20260817101011085,555,5.0,5.0,5.0,15.0,Big,Odd,Triple,
20260817101011084,661,6.0,6.0,1.0,13.0,Big,Odd,Double,
20260817101011083,352,3.0,5.0,2.0,10.0,Small,Even,Single,
20260817101011082,122,1.0,2.0,2.0,5.0,Small,Odd,Double,
20260817101011081,313,3.0,1.0,3.0,7.0,Small,Odd,Double,
20260817101011080,366,3.0,6.0,6.0,15.0,Big,Odd,Double,
20260817101011079,641,6.0,4.0,1.0,11.0,Big,Odd,Single,
20260817101011078,241,2.0,4.0,1.0,7.0,Small,Odd,Single,
20260817101011077,544,5.0,4.0,4.0,13.0,Big,Odd,Double,
20260817101011076,424,4.0,2.0,4.0,10.0,Small,Even,Double,
20260817101011075,132,1.0,3.0,2.0,6.0,Small,Even,Single,
20260817101011074,312,3.0,1.0,2.0,6.0,Small,Even,Single,
20260817101011073,334,3.0,3.0,4.0,10.0,Small,Even,Double,
20260817101011072,452,4.0,5.0,2.0,11.0,Big,Odd,Single,
20260817101011071,516,5.0,1.0,6.0,12.0,Big,Even,Single,
20260817101011070,342,3.0,4.0,2.0,9.0,Small,Odd,Single,
20260817101011069,153,1.0,5.0,3.0,9.0,Small,Odd,Single,
20260817101011068,621,6.0,2.0,1.0,9.0,Small,Odd,Single,
20260817101011067,464,4.0,6.0,4.0,14.0,Big,Even,Double,
20260817101011066,646,6.0,4.0,6.0,16.0,Big,Even,Double,
20260817101011065,241,2.0,4.0,1.0,7.0,Small,Odd,Single,
20260817101011064,326,3.0,2.0,6.0,11.0,Big,Odd,Single,
20260817101011063,231,2.0,3.0,1.0,6.0,Small,Even,Single,
20260817101011062,652,6.0,5.0,2.0,13.0,Big,Odd,Single,
20260817101011061,223,2.0,2.0,3.0,7.0,Small,Odd,Double,
20260817101011060,354,3.0,5.0,4.0,12.0,Big,Even,Single,
20260817101011059,343,3.0,4.0,3.0,10.0,Small,Even,Double,
20260817101011058,623,6.0,2.0,3.0,11.0,Big,Odd,Single,
20260817101011057,366,3.0,6.0,6.0,15.0,Big,Odd,Double,
20260817101011056,122,1.0,2.0,2.0,5.0,Small,Odd,Double,
20260817101011055,513,5.0,1.0,3.0,9.0,Small,Odd,Single,
20260817101011054,261,2.0,6.0,1.0,9.0,Small,Odd,Single,
20260817101011053,431,4.0,3.0,1.0,8.0,Small,Even,Single,
20260817101011052,625,6.0,2.0,5.0,13.0,Big,Odd,Single,
20260817101011051,465,4.0,6.0,5.0,15.0,Big,Odd,Single,
20260817101011050,642,6.0,4.0,2.0,12.0,Big,Even,Single,
20260817101011049,626,6.0,2.0,6.0,14.0,Big,Even,Double,
20260817101011048,362,3.0,6.0,2.0,11.0,Big,Odd,Single,
20260817101011047,366,3.0,6.0,6.0,15.0,Big,Odd,Double,
20260817101011046,646,6.0,4.0,6.0,16.0,Big,Even,Double,
20260817101011045,456,4.0,5.0,6.0,15.0,Big,Odd,Single,
20260817101011044,551,5.0,5.0,1.0,11.0,Big,Odd,Double,
20260817101011043,245,2.0,4.0,5.0,11.0,Big,Odd,Single,
20260817101011042,361,3.0,6.0,1.0,10.0,Small,Even,Single,
20260817101011041,633,6.0,3.0,3.0,12.0,Big,Even,Double,
20260817101011040,655,6.0,5.0,5.0,16.0,Big,Even,Double,
20260817101011039,246,2.0,4.0,6.0,12.0,Big,Even,Single,
20260817101011038,215,2.0,1.0,5.0,8.0,Small,Even,Single,
20260817101011037,434,4.0,3.0,4.0,11.0,Big,Odd,Double,
20260817101011036,264,2.0,6.0,4.0,12.0,Big,Even,Single,
20260817101011035,556,5.0,5.0,6.0,16.0,Big,Even,Double,
20260817101011034,644,6.0,4.0,4.0,14.0,Big,Even,Double,
20260817101011033,652,6.0,5.0,2.0,13.0,Big,Odd,Single,
20260817101011032,543,5.0,4.0,3.0,12.0,Big,Even,Single,
20260817101011031,446,4.0,4.0,6.0,14.0,Big,Even,Double,
20260817101011030,622,6.0,2.0,2.0,10.0,Small,Even,Double,
20260817101011029,615,6.0,1.0,5.0,12.0,Big,Even,Single,
20260817101011028,412,4.0,1.0,2.0,7.0,Small,Odd,Single,
20260817101011027,554,5.0,5.0,4.0,14.0,Big,Even,Double,
20260817101011026,552,5.0,5.0,2.0,12.0,Big,Even,Double,
20260817101011025,524,5.0,2.0,4.0,11.0,Big,Odd,Single,
20260817101011024,266,2.0,6.0,6.0,14.0,Big,Even,Double,
20260817101011020,351,3.0,5.0,1.0,9.0,Small,Odd,Single,
20260817101011019,511,5.0,1.0,1.0,7.0,Small,Odd,Double,
20260817101011018,656,6.0,5.0,6.0,17.0,Big,Odd,Double,
20260817101011017,524,5.0,2.0,4.0,11.0,Big,Odd,Single,
20260817101011016,334,3.0,3.0,4.0,10.0,Small,Even,Double,
20260817101011015,316,3.0,1.0,6.0,10.0,Small,Even,Single,
20260817101011014,551,5.0,5.0,1.0,11.0,Big,Odd,Double,
20260817101011013,242,2.0,4.0,2.0,8.0,Small,Even,Double,
20260817101011012,544,5.0,4.0,4.0,13.0,Big,Odd,Double,
20260817101011011,145,1.0,4.0,5.0,10.0,Small,Even,Single,
20260817101011010,236,2.0,3.0,6.0,11.0,Big,Odd,Single,
20260817101011009,255,2.0,5.0,5.0,12.0,Big,Even,Double,
,,,,,,Small,Odd,Unknown,
